"Academic.Reputation.Score","Citations.per.Faculty.Score","Employer.Reputation.Score","Employment.Outcomes.Score","Faculty.Student.Score","International.Faculty.Score","International.Research.Network.Score","International.Students.Score","Sustainability.Score"
"345",13.4,84.3,6.6,6.7,13.8,4.3,72.3,13.5,69.3
"346",34,1.4,72.5,14.4,52.4,44.6,1.4,6.3,30.5
"347",12,54.3,6.8,20.9,17.3,70,47.2,51.8,94.9
"348",20.5,72.3,42.7,31.8,4.7,1.3,32,4.3,7.8
"349",43.2,1.7,72.7,57.3,22.9,4,4.2,2.7,29.1
"350",31.2,11.4,49.3,37.3,14.9,3.2,59.9,30.7,83.5
"351",40.4,41.1,12.7,13.4,7.5,5.9,67.6,4.1,73.6
"352",6.9,97.7,13.3,11.4,11.1,45.2,14.7,18.2,39
"353",28.9,41.6,13.1,15.6,11.3,10.7,78.8,37.7,79.5
"354",23,29.2,21,53.2,4.6,50.6,28,81.2,80.8
"355",31.9,22.3,22,15.1,41.2,8,72.8,21.2,73.3
"356",29.5,1.4,51.7,10.9,96.8,59.3,1.1,5.7,9.6
"357",20.1,94.7,7.6,14.8,11.4,6.6,26.2,5.4,18.8
"358",35.8,19,24,11.5,59,13.8,31.7,21.2,57.7
"359",33.6,49.6,5.7,17.4,4.1,8.1,73,10.7,81.1
"360",24.4,11.5,9,42.1,91.5,46.5,73.7,22.2,27.6
"361",15.6,78.7,31.8,17.4,17.6,8.8,16.3,3.4,28.4
"362",18.7,67.5,38.8,17.5,3.4,2.1,68.6,1.8,18.4
"363",7.9,51.5,5.3,31.7,39.9,100,1.2,91,37.8
"364",20.2,11.2,7,35.7,69.2,100,32.9,100,16.5
"365",20,20,39.1,36.9,20.7,100,6.4,100,3
"366",17,98.1,25.2,5.5,7.7,3,5.8,1.3,4.4
"367",39.8,36.8,5.7,32.5,2.9,4.6,69.4,5.4,84.3
"368",18.9,11.7,72.7,9,77.4,2.6,23.5,3.9,30.7
"369",8.9,77.8,3.1,18.6,4.9,92.9,55.9,25.4,24.4
"370",17.8,91.2,22.5,10.5,7.8,1.3,3.6,2.2,27.6
"372",43.7,2.8,33.2,72.5,8,2.7,48.7,6.2,78.6
